51.714614;8.7473932;0:00
51.714614;8.7473932;1:00
51.714614;8.7473932;2:00
51.714614;8.7473932;3:00
51.714614;8.7473932;4:00
51.714614;8.7473932;5:00
51.714614;8.7473932;6:00
51.714614;8.7473932;7:00
51.714614;8.7473932;8:00
51.7146395;8.7473855;8:02
51.7146582;8.7473973;8:04
51.7146829;8.747396;8:06
51.7147214;8.7473765;8:08
51.7147349;8.7473473;8:10
51.7148907;8.7472883;8:12
51.7151864;8.7473168;8:15
51.7153477;8.7466795;8:17
51.7155387;8.7467495;8:19
51.7156384;8.7468461;8:21
51.7157199;8.7470925;8:23
51.7158371;8.7475014;8:25
51.7159277;8.7478409;8:27
51.7159069;8.7479453;8:30
51.7159069;8.7479453;9:30
51.7159069;8.7479453;10:30
51.7159069;8.7479453;11:30
51.7159277;8.7478409;11:30
51.7158371;8.7475014;11:31
51.7157199;8.7470925;11:32
51.7156384;8.7468461;11:33
51.7156127;8.7467727;11:34
51.7156683;8.7466306;11:35
51.7156982;8.7463704;11:36
51.7157073;8.7461407;11:37
51.7155046;8.7454906;11:37
51.7158727;8.7451393;11:38
51.7159166;8.7440747;11:39
51.7160097;8.7435865;11:40
51.7160247;8.7422213;11:41
51.7160612;8.7412021;11:42
51.7151456;8.7415347;11:43
51.7148431;8.7393701;11:44
51.7151012;8.7393046;11:45
51.7151012;8.7393046;12:00
51.7151012;8.7393046;13:00
51.7148431;8.7393701;13:03
51.7145357;8.7377179;13:07
51.7130747;8.7383103;13:11
51.7126976;8.7369776;13:15
51.7121108;8.7343031;13:18
51.7118102;8.7328792;13:22
51.7124882;8.7324715;13:26
51.7126706;8.7327938;13:30
51.7126706;8.7327938;14:30
51.712465;8.7324929;14:33
51.7118102;8.7328792;14:36
51.712128;8.7342908;14:40
51.7126976;8.7369776;14:43
51.7130747;8.7383103;14:46
51.7134521;8.7398706;14:50
51.7136156;8.7405031;14:53
51.7134809;8.7406023;14:56
51.7133762;8.7406908;15:00
51.7133762;8.7406908;16:00
51.7133762;8.7406908;17:00
51.7133397;8.740554;17:01
51.7132175;8.7406211;17:03
51.7131867;8.7403754;17:05
51.7131867;8.7403754;18:00
51.7131867;8.7403754;19:00
51.7131867;8.7403754;20:00
51.7131867;8.7403754;21:00
51.7131867;8.7403754;22:00
51.7132558;8.740601;22:01
51.7133397;8.740554;22:03
51.7134809;8.7406023;22:05
51.7137036;8.7413788;22:07
51.7139562;8.7422224;22:08
51.7142978;8.7431611;22:10
51.7147074;8.7443547;22:12
51.7148877;8.7448697;22:14
51.7144722;8.7451795;22:15
51.7142918;8.7453874;22:17
51.7143883;8.7458702;22:19
51.7144875;8.7462789;22:21
51.7145309;8.7464526;22:22
51.7146443;8.7472559;22:24
51.7146454;8.747306;22:26
51.7146413;8.7473825;22:28
51.714614;8.7473932;22:30
51.714614;8.7473932;23:00
